# Simulation 5 (Up to date)
# 206 data points written for 54 variables.
#
Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (°),Longitude (°),Gravitational acceleration (m/s²),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (cm),CG location (cm),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (m/s²),Reference length (cm),Reference area (cm²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
10.991,161.668,-10.895,0.002,10.896,0.15,44.714,0.017,44.714,0.022,0.094,0.15,28.61,-80.6,9.792,NaN,NaN,NaN,NaN,190.958,21.5,NaN,NaN,NaN,NaN,NaN,0.033,288707.025,0,1.87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,NaN,NaN,NaN,NaN,0,-0.858,979.646,330.779,0.5,0.265
11.491,156.221,-10.893,0.005,10.893,0.083,44.751,0.017,44.751,0.022,0.052,0.083,28.61,-80.6,9.792,NaN,NaN,NaN,NaN,190.958,21.5,NaN,NaN,NaN,NaN,NaN,0.033,288775.933,0,1.871,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,NaN,NaN,NaN,NaN,0,-0.83,980.309,330.796,0.5,0.265
11.991,150.775,-10.89,0.006,10.89,0.046,44.771,0.017,44.771,0.022,0.029,0.046,28.61,-80.6,9.792,NaN,NaN,NaN,NaN,190.958,21.5,NaN,NaN,NaN,NaN,NaN,0.033,288838.337,0,1.871,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,NaN,NaN,NaN,NaN,0,-0.802,980.973,330.813,0.5,0.265
12.491,145.331,-10.887,0.006,10.887,0.026,44.783,0.017,44.783,0.022,0.017,0.025,28.61,-80.6,9.792,NaN,NaN,NaN,NaN,190.958,21.5,NaN,NaN,NaN,NaN,NaN,0.033,288898.818,0,1.871,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,NaN,NaN,NaN,NaN,0,-0.774,981.636,330.83,0.5,0.265
12.991,139.889,-10.884,0.006,10.884,0.015,44.789,0.017,44.789,0.022,0.01,0.014,28.61,-80.6,9.792,NaN,NaN,NaN,NaN,190.958,21.5,NaN,NaN,NaN,NaN,NaN,0.033,288958.687,0,1.871,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,NaN,NaN,NaN,NaN,0,-0.746,982.299,330.847,0.5,0.266
13.491,134.448,-10.881,0.006,10.881,0.01,44.793,0.017,44.793,0.022,0.006,0.008,28.61,-80.6,9.792,NaN,NaN,NaN,NaN,190.958,21.5,NaN,NaN,NaN,NaN,NaN,0.033,289018.33,0,1.871,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,NaN,NaN,NaN,NaN,0,-0.719,982.962,330.863,0.5,0.266
13.991,129.008,-10.877,0.006,10.877,0.007,44.796,0.017,44.796,0.022,0.004,0.004,28.61,-80.6,9.792,NaN,NaN,NaN,NaN,190.958,21.5,NaN,NaN,NaN,NaN,NaN,0.033,289077.862,0,1.871,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,NaN,NaN,NaN,NaN,0,-0.691,983.625,330.88,0.5,0.266
14.491,123.57,-10.874,0.006,10.874,0.007,44.798,0.017,44.798,0.022,0.003,0.002,28.61,-80.6,9.792,NaN,NaN,NaN,NaN,190.958,21.5,NaN,NaN,NaN,NaN,NaN,0.033,289137.314,0,1.871,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,NaN,NaN,NaN,NaN,0,-0.663,984.287,330.897,0.5,0.266
14.991,118.134,-10.871,0.006,10.871,0.006,44.799,0.017,44.799,0.022,0.002,0.001,28.61,-80.6,9.792,NaN,NaN,NaN,NaN,190.958,21.5,NaN,NaN,NaN,NaN,NaN,0.033,289196.697,0,1.871,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,NaN,NaN,NaN,NaN,0,-0.635,984.95,330.914,0.5,0.266
15.491,112.699,-10.868,0.006,10.868,0.006,44.8,0.017,44.8,0.022,0.002,0.001,28.61,-80.6,9.792,NaN,NaN,NaN,NaN,190.958,21.5,NaN,NaN,NaN,NaN,NaN,0.033,289256.013,0,1.871,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,NaN,NaN,NaN,NaN,0,-0.607,985.612,330.931,0.5,0.266
15.991,107.266,-10.865,0.006,10.865,0.006,44.801,0.017,44.801,0.022,0.002,0,28.61,-80.6,9.792,NaN,NaN,NaN,NaN,190.958,21.5,NaN,NaN,NaN,NaN,NaN,0.033,289315.262,0,1.871,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,NaN,NaN,NaN,NaN,0,-0.579,986.274,330.948,0.5,0.266
16.491,101.834,-10.862,0.006,10.862,0.006,44.802,0.017,44.802,0.022,0.002,0,28.61,-80.6,9.792,NaN,NaN,NaN,NaN,190.958,21.5,NaN,NaN,NaN,NaN,NaN,0.033,289374.446,0,1.871,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,NaN,NaN,NaN,NaN,0,-0.551,986.935,330.965,0.5,0.266
16.991,96.404,-10.859,0.006,10.859,0.006,44.803,0.017,44.803,0.022,0.002,0,28.61,-80.6,9.792,NaN,NaN,NaN,NaN,190.958,21.5,NaN,NaN,NaN,NaN,NaN,0.033,289433.563,0,1.871,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,NaN,NaN,NaN,NaN,0,-0.523,987.597,330.982,0.5,0.266
17.491,90.975,-10.856,0.006,10.856,0.006,44.803,0.017,44.803,0.022,0.002,0,28.61,-80.6,9.792,NaN,NaN,NaN,NaN,190.958,21.5,NaN,NaN,NaN,NaN,NaN,0.033,289492.614,0,1.871,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,NaN,NaN,NaN,NaN,0,-0.495,988.258,330.999,0.5,0.266
17.991,85.548,-10.853,0.006,10.853,0.006,44.804,0.017,44.804,0.022,0.002,0,28.61,-80.6,9.792,NaN,NaN,NaN,NaN,190.958,21.5,NaN,NaN,NaN,NaN,NaN,0.033,289551.6,0,1.871,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,NaN,NaN,NaN,NaN,0,-0.467,988.92,331.016,0.5,0.267
18.491,80.122,-10.85,0.006,10.85,0.006,44.805,0.017,44.805,0.022,0.002,0,28.61,-80.6,9.792,NaN,NaN,NaN,NaN,190.958,21.5,NaN,NaN,NaN,NaN,NaN,0.033,289610.519,0,1.871,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,NaN,NaN,NaN,NaN,0,-0.439,989.581,331.033,0.5,0.267
18.991,74.698,-10.847,0.006,10.847,0.006,44.806,0.017,44.806,0.022,0.002,0,28.61,-80.6,9.792,NaN,NaN,NaN,NaN,190.958,21.5,NaN,NaN,NaN,NaN,NaN,0.033,289669.373,0,1.871,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,NaN,NaN,NaN,NaN,0,-0.412,990.241,331.05,0.5,0.267
19.491,69.276,-10.844,0.006,10.844,0.006,44.807,0.017,44.807,0.022,0.002,0,28.61,-80.6,9.792,NaN,NaN,NaN,NaN,190.958,21.5,NaN,NaN,NaN,NaN,NaN,0.033,289728.161,0,1.871,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,NaN,NaN,NaN,NaN,0,-0.384,990.902,331.066,0.5,0.267
19.991,63.855,-10.841,0.006,10.841,0.006,44.807,0.017,44.807,0.022,0.002,0,28.61,-80.6,9.792,NaN,NaN,NaN,NaN,190.958,21.5,NaN,NaN,NaN,NaN,NaN,0.033,289786.884,0,1.871,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,NaN,NaN,NaN,NaN,0,-0.356,991.562,331.083,0.5,0.267
20.491,58.435,-10.837,0.006,10.837,0.006,44.808,0.017,44.808,0.022,0.002,0,28.61,-80.6,9.792,NaN,NaN,NaN,NaN,190.958,21.5,NaN,NaN,NaN,NaN,NaN,0.033,289845.541,0,1.871,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,NaN,NaN,NaN,NaN,0,-0.328,992.223,331.1,0.5,0.267
20.991,53.017,-10.834,0.006,10.834,0.006,44.809,0.017,44.809,0.022,0.002,0,28.61,-80.6,9.792,NaN,NaN,NaN,NaN,190.958,21.5,NaN,NaN,NaN,NaN,NaN,0.033,289904.133,0,1.871,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,NaN,NaN,NaN,NaN,0,-0.3,992.883,331.117,0.5,0.267
21.491,47.601,-10.831,0.006,10.831,0.006,44.81,0.017,44.81,0.022,0.002,0,28.61,-80.6,9.792,NaN,NaN,NaN,NaN,190.958,21.5,NaN,NaN,NaN,NaN,NaN,0.033,289962.659,0,1.871,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,NaN,NaN,NaN,NaN,0,-0.272,993.543,331.134,0.5,0.267
21.991,42.186,-10.828,0.006,10.828,0.006,44.81,0.017,44.81,0.022,0.002,0,28.61,-80.6,9.792,NaN,NaN,NaN,NaN,190.958,21.5,NaN,NaN,NaN,NaN,NaN,0.033,290021.121,0,1.871,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,NaN,NaN,NaN,NaN,0,-0.244,994.202,331.151,0.5,0.267
22.491,36.772,-10.825,0.006,10.825,0.006,44.811,0.017,44.811,0.022,0.002,0,28.61,-80.6,9.792,NaN,NaN,NaN,NaN,190.958,21.5,NaN,NaN,NaN,NaN,NaN,0.033,290079.518,0,1.871,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,NaN,NaN,NaN,NaN,0,-0.217,994.862,331.168,0.5,0.268
22.991,31.36,-10.822,0.006,10.822,0.006,44.812,0.017,44.812,0.022,0.002,0,28.61,-80.6,9.792,NaN,NaN,NaN,NaN,190.958,21.5,NaN,NaN,NaN,NaN,NaN,0.033,290137.849,0,1.871,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,NaN,NaN,NaN,NaN,0,-0.189,995.521,331.184,0.5,0.268
23.491,25.95,-10.819,0.006,10.819,0.006,44.813,0.017,44.813,0.022,0.002,0,28.61,-80.6,9.792,NaN,NaN,NaN,NaN,190.958,21.5,NaN,NaN,NaN,NaN,NaN,0.033,290196.116,0,1.871,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,NaN,NaN,NaN,NaN,0,-0.161,996.18,331.201,0.5,0.268
23.991,20.541,-10.816,0.006,10.816,0.006,44.813,0.017,44.813,0.022,0.002,0,28.61,-80.6,9.792,NaN,NaN,NaN,NaN,190.958,21.5,NaN,NaN,NaN,NaN,NaN,0.033,290254.319,0,1.871,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,NaN,NaN,NaN,NaN,0,-0.133,996.839,331.218,0.5,0.268
24.491,15.134,-10.813,0.006,10.813,0.006,44.814,0.017,44.814,0.022,0.002,0,28.61,-80.6,9.792,NaN,NaN,NaN,NaN,190.958,21.5,NaN,NaN,NaN,NaN,NaN,0.033,290312.456,0,1.871,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,NaN,NaN,NaN,NaN,0,-0.106,997.498,331.235,0.5,0.268
24.991,9.728,-10.81,0.006,10.81,0.006,44.815,0.017,44.815,0.022,0.002,0,28.61,-80.6,9.792,NaN,NaN,NaN,NaN,190.958,21.5,NaN,NaN,NaN,NaN,NaN,0.033,290370.53,0,1.871,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,NaN,NaN,NaN,NaN,0,-0.078,998.157,331.252,0.5,0.268
25.491,4.324,-10.807,0.006,10.807,0.006,44.816,0.017,44.816,0.022,0.002,0,28.61,-80.6,9.792,NaN,NaN,NaN,NaN,190.958,21.5,NaN,NaN,NaN,NaN,NaN,0.033,290428.539,0,1.871,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,NaN,NaN,NaN,NaN,0,-0.05,998.815,331.269,0.5,0.268
# Event GROUND_HIT occurred at t=25.891 seconds
# Event SIMULATION_END occurred at t=25.891 seconds
25.891,0,-10.805,0.006,10.805,0.006,44.816,0.017,44.816,0.022,0.002,0,28.61,-80.6,9.792,NaN,NaN,NaN,NaN,190.958,21.5,NaN,NaN,NaN,NaN,NaN,0.033,290502.611,0,1.871,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,NaN,NaN,NaN,NaN,0,-0.022,999.473,331.285,0.4,0.268
